applicant_id,age,gender,income,loan_amount,credit_score,existing_loans,employment_years,education,self_employed,loan_term,loan_approved
APP00031,39,Male,63363,163700,674,1,9,Bachelor,No,72,0
APP00032,30,Male,63637,228600,643,1,12,Bachelor,No,60,0
APP00033,24,Female,86924,78800,835,0,6,Master,Yes,84,1
APP00034,43,Male,58421,42200,648,2,18,Master,No,84,0
APP00035,56,Male,43214,221500,633,1,6,High School,No,48,0
APP00036,23,Female,49791,228200,710,1,5,Bachelor,Yes,24,0
APP00037,55,Female,79806,233800,698,0,23,Master,Yes,48,0
APP00038,54,Male,60081,134900,582,0,3,Bachelor,No,36,0
APP00039,32,Male,69926,408400,759,1,5,PhD,No,60,0
APP00040,46,Female,81116,139800,673,1,20,Bachelor,No,48,1
APP00041,27,Female,50687,226900,602,0,3,High School,No,60,0
APP00042,51,Female,84323,249600,763,1,27,High School,No,72,1
APP00043,49,Male,71152,463200,724,2,3,Master,No,36,0
APP00044,35,Male,34421,151200,591,1,17,PhD,No,60,0
APP00045,23,Female,114822,125700,804,0,5,High School,No,48,1
APP00046,59,Male,47895,79000,726,3,13,High School,No,72,0
APP00047,38,Male,28490,422700,679,1,8,Master,No,60,0
APP00048,56,Female,37490,227000,791,1,10,High School,No,12,0
APP00049,48,Female,37897,230900,691,1,23,High School,No,60,0
APP00050,52,Male,61425,800000,678,3,23,Master,Yes,36,0
APP00051,51,Female,53043,215200,634,1,6,Master,No,60,0
APP00052,28,Male,51561,87900,721,0,10,Master,No,60,0
APP00053,35,Female,79298,161600,713,1,17,Bachelor,Yes,48,1
APP00054,39,Female,69916,105300,681,0,7,Bachelor,No,60,1
APP00055,40,Male,69170,144800,625,0,21,Master,No,72,0
APP00056,22,Female,72151,144200,689,1,4,Bachelor,No,72,1
APP00057,42,Male,79171,130300,675,0,24,Bachelor,No,60,1
APP00058,27,Female,23237,83700,587,1,5,Master,No,60,1
APP00059,50,Male,50925,432200,577,2,9,Bachelor,No,48,0
APP00060,48,Male,22494,212200,720,2,14,Master,No,72,0
APP00061,57,Female,60982,159000,498,0,11,High School,Yes,72,0
APP00062,50,Female,59875,273100,694,0,5,PhD,No,36,0
APP00063,35,Male,96047,233200,647,0,17,Bachelor,Yes,36,0
APP00064,59,Female,102389,209500,772,3,0,Bachelor,No,36,1
APP00065,37,Female,65732,262400,645,2,19,Master,No,36,0
APP00066,34,Male,47903,193800,726,2,1,Bachelor,No,48,0
APP00067,57,Female,74639,260200,652,2,10,Master,No,36,0
APP00068,35,Female,47313,272400,688,1,17,Bachelor,No,60,0
APP00069,24,Male,59962,196900,732,0,4,Master,Yes,24,0
APP00070,39,Male,93514,159500,648,0,2,Master,Yes,36,1
APP00071,52,Female,46681,417700,750,2,23,Bachelor,Yes,60,0
APP00072,28,Male,86220,138400,610,0,2,High School,Yes,48,0
APP00073,39,Female,81384,223200,701,0,21,High School,No,48,1
APP00074,26,Female,39044,226000,745,0,8,PhD,No,72,0
APP00075,48,Male,93000,128700,726,2,26,PhD,No,84,1
APP00076,40,Male,82163,115400,814,1,7,PhD,No,60,1
APP00077,34,Female,62816,148200,627,0,4,High School,Yes,24,0
APP00078,30,Male,42576,137300,583,0,12,Bachelor,No,24,0
APP00079,43,Male,40760,80700,610,5,23,Master,No,84,0
APP00080,47,Female,47106,125800,726,0,28,Master,No,60,1
APP00081,58,Female,76593,208400,715,0,9,High School,No,72,1
APP00082,38,Female,39029,361100,687,0,12,Bachelor,Yes,60,0
APP00083,27,Female,73056,244200,601,0,9,High School,No,36,0
APP00084,54,Female,34314,43100,734,1,13,Bachelor,No,60,1
APP00085,46,Male,54736,256100,594,2,7,High School,No,72,0
APP00086,49,Female,63035,132400,761,1,11,High School,No,72,0
APP00087,24,Female,180000,230900,850,0,6,High School,Yes,36,1
APP00088,33,Female,32283,178600,706,0,1,Master,No,60,0
APP00089,51,Female,116367,161900,721,1,10,Master,No,36,1
APP00090,54,Male,64185,170200,645,3,9,Master,No,84,0
APP00091,38,Female,72195,177800,553,2,2,Bachelor,No,36,0
APP00092,53,Male,63282,377100,638,2,3,Bachelor,No,60,0
APP00093,54,Female,73293,178100,603,0,15,Bachelor,No,36,0
APP00094,36,Male,55991,327000,579,1,3,Bachelor,No,60,0
APP00095,56,Male,115430,301800,801,0,10,Bachelor,No,60,1
APP00096,32,Male,48859,259800,699,0,14,Master,No,48,0
APP00097,30,Female,99868,67400,707,1,12,Master,No,72,0
APP00098,48,Female,44897,332700,658,1,3,Master,No,72,0
APP00099,46,Male,58395,139900,668,3,13,High School,No,72,0
APP00100,26,Male,37039,266800,748,0,3,Bachelor,No,48,0
APP00101,54,Male,73634,105400,678,1,13,High School,No,72,0
APP00102,28,Male,114968,93800,717,4,10,High School,No,60,0
APP00103,53,Female,57947,533800,666,0,24,Master,No,60,0
APP00104,21,Male,54913,106300,656,1,3,Bachelor,No,60,0
APP00105,52,Male,36334,338100,582,1,29,Master,No,60,0
APP00106,52,Male,54118,192100,542,1,4,High School,No,36,0
APP00107,52,Male,29300,142900,662,0,1,PhD,No,48,0
APP00108,47,Female,39787,175600,684,0,0,PhD,No,36,0
APP00109,39,Female,66447,88000,590,1,11,Bachelor,No,36,0
APP00110,49,Male,108625,178600,678,1,5,Master,Yes,24,1
APP00111,32,Female,180000,99200,684,0,2,High School,No,36,0
APP00112,52,Male,46080,144800,529,0,7,Master,No,72,0
APP00113,43,Male,114460,299400,616,2,25,Master,No,60,1
APP00114,39,Male,66956,207000,709,3,21,Master,No,12,0
APP00115,41,Male,56052,79700,707,2,0,Master,No,72,0
APP00116,43,Male,72894,287500,599,1,25,Bachelor,No,84,0
APP00117,22,Female,61695,179300,691,0,4,Master,No,72,1
APP00118,26,Female,63056,133600,752,1,8,Bachelor,No,72,0
APP00119,30,Female,49929,271400,734,0,10,High School,No,84,0
APP00120,25,Male,31983,164200,673,0,7,High School,No,60,0
APP00121,38,Male,29956,94800,647,0,20,Master,No,84,0
APP00122,47,Male,80504,497300,636,2,22,Bachelor,No,84,0
APP00123,47,Male,52975,178300,713,0,18,Bachelor,No,48,0
APP00124,39,Male,45883,172100,694,1,19,Master,No,72,0
APP00125,55,Female,60230,144000,724,2,22,Bachelor,No,72,0
APP00126,43,Female,85804,344400,689,3,5,Bachelor,Yes,72,0
APP00127,24,Female,65073,134900,737,1,6,Bachelor,No,72,1
APP00128,51,Female,44662,77000,687,1,3,Bachelor,No,48,1
APP00129,43,Female,104186,123900,735,0,21,Master,No,48,0
APP00130,46,Female,122117,373400,741,2,13,Bachelor,No,60,0
APP00131,43,Male,74956,284500,624,0,19,Bachelor,No,72,0
APP00132,43,Female,92990,156400,553,0,17,Master,No,72,0
APP00133,24,Female,104923,383100,788,1,6,Master,No,72,0
APP00134,43,Female,99772,271600,698,3,4,Master,No,60,1
APP00135,52,Female,79098,155500,560,0,30,High School,No,84,0
APP00136,33,Male,78539,164300,630,0,9,Master,No,36,0
APP00137,45,Female,75807,215700,734,1,3,Bachelor,Yes,84,0
APP00138,22,Male,36618,113900,660,0,4,High School,No,24,1
APP00139,34,Female,82242,180400,644,1,16,Bachelor,No,60,0
APP00140,38,Female,32597,213300,778,2,8,Master,Yes,24,0
APP00141,60,Female,41962,71200,607,2,30,Bachelor,No,60,1
APP00142,29,Male,107872,162200,624,2,11,Master,No,48,1
APP00143,32,Female,87570,152400,695,1,14,Bachelor,No,24,0
APP00144,37,Female,117176,316800,707,0,19,High School,No,60,1
APP00145,60,Male,53095,65300,715,0,1,Bachelor,Yes,72,0
APP00146,55,Male,35724,145900,744,1,15,Bachelor,No,36,1
APP00147,22,Female,53847,138100,694,2,4,Bachelor,No,60,1
APP00148,30,Female,62819,305200,714,1,6,Master,No,36,0
APP00149,53,Female,62171,175700,662,1,17,Master,No,36,0
APP00150,23,Female,99933,483400,684,0,3,High School,Yes,36,0
APP00151,55,Male,50997,259100,688,2,21,Bachelor,No,60,0
APP00152,32,Female,70299,143600,695,2,14,High School,No,72,0
APP00153,57,Male,38454,205400,734,0,2,Bachelor,Yes,60,0
APP00154,32,Female,73478,148100,719,0,14,High School,No,72,0
APP00155,38,Male,60084,288800,683,0,20,Bachelor,No,60,0
APP00156,47,Female,42817,86500,623,1,1,Master,No,72,0
APP00157,26,Male,53959,114400,685,1,8,Bachelor,No,84,0
APP00158,43,Female,55228,231300,678,2,8,Bachelor,No,48,0
APP00159,41,Male,53132,353200,694,1,1,Bachelor,No,36,0
APP00160,52,Male,133146,53600,834,2,24,Bachelor,No,36,1
APP00161,60,Female,57400,383300,643,1,13,Bachelor,No,60,0
APP00162,47,Male,53763,166600,710,1,23,High School,Yes,60,0
APP00163,37,Female,23348,63900,755,2,18,Master,Yes,36,0
APP00164,37,Female,40123,34500,687,1,19,Bachelor,No,72,0
APP00165,37,Female,53301,77600,844,1,19,Bachelor,No,84,1
APP00166,53,Male,44067,178100,654,0,18,High School,No,36,0
APP00167,33,Male,111733,173600,703,3,10,Bachelor,No,36,0
APP00168,27,Male,55708,255000,624,3,9,Bachelor,No,36,0
APP00169,34,Female,107141,133100,655,3,16,Bachelor,No,48,0
APP00170,21,Female,61689,97900,697,0,3,Bachelor,No,72,0
APP00171,25,Female,61014,143400,739,0,7,Bachelor,No,60,0
APP00172,24,Female,57650,183400,702,2,6,Master,Yes,24,0
APP00173,51,Male,60103,204400,768,2,30,Master,No,60,1
APP00174,49,Male,130035,116600,673,0,20,High School,No,24,1
APP00175,48,Male,21126,295500,657,2,10,High School,No,48,0
APP00176,39,Male,24377,127900,850,4,18,Master,No,48,0
APP00177,49,Male,46989,111600,708,1,12,PhD,No,60,1
APP00178,27,Male,60394,133600,630,1,4,Master,No,60,0
APP00179,57,Male,81850,325100,631,1,27,High School,No,72,0
APP00180,41,Male,74235,167300,614,1,23,Bachelor,No,12,1
APP00181,58,Female,50473,122900,746,0,25,High School,Yes,72,1
APP00182,27,Female,94909,299600,654,0,9,Master,No,12,0
APP00183,40,Female,95386,584900,689,2,7,Bachelor,No,36,0
APP00184,48,Male,65181,202000,676,2,1,Bachelor,No,72,0
APP00185,40,Male,92531,354800,731,1,22,Bachelor,No,60,1
APP00186,38,Male,67832,318200,621,0,10,Bachelor,Yes,36,0
APP00187,27,Male,46604,129000,605,1,9,Bachelor,No,60,0
APP00188,36,Female,82135,182700,696,4,18,High School,No,60,0
APP00189,30,Female,63062,88900,722,1,3,Bachelor,Yes,84,0
APP00190,33,Male,60036,160800,703,0,15,Master,No,60,0
APP00191,48,Male,116416,127600,623,1,4,Bachelor,No,12,0
APP00192,46,Male,19915,144200,727,1,15,Bachelor,No,60,0
APP00193,45,Male,31702,119200,628,1,14,Master,No,36,1
APP00194,35,Female,35169,153700,643,0,17,Master,Yes,12,0
APP00195,59,Female,50952,241200,614,0,20,High School,No,60,0
APP00196,24,Female,53505,168600,771,2,6,High School,No,72,0
APP00197,34,Female,30449,64600,724,2,16,Bachelor,No,12,1
APP00198,25,Female,38514,119400,722,3,7,Bachelor,No,72,0
APP00199,34,Female,40730,78000,767,0,16,High School,No,60,1
APP00200,59,Female,180000,205900,850,4,26,High School,No,72,1
APP00201,35,Female,134980,237400,560,2,12,High School,No,36,1
APP00202,57,Male,49852,207300,628,0,11,Bachelor,No,48,0
APP00203,40,Female,50944,116700,637,0,22,Bachelor,Yes,24,1
APP00204,48,Female,35773,206200,620,3,23,High School,No,36,0
APP00205,39,Female,25424,139000,605,1,21,Master,No,36,0
APP00206,31,Female,56926,96200,659,1,13,Bachelor,Yes,48,1
APP00207,51,Female,38295,270700,595,1,28,Bachelor,Yes,36,0
APP00208,59,Female,57752,282300,703,1,22,High School,No,36,0
APP00209,31,Male,29202,303300,684,4,13,Master,No,84,0
APP00210,52,Female,42583,128800,714,3,5,PhD,No,72,0
APP00211,31,Female,64150,344300,716,3,13,Bachelor,No,48,0
APP00212,49,Female,70749,137200,722,1,22,High School,No,84,1
APP00213,52,Male,72400,257900,654,0,23,Bachelor,No,36,1
APP00214,38,Female,33120,135900,828,2,20,High School,No,48,0
APP00215,50,Male,88142,159100,696,3,10,Master,No,72,1
APP00216,31,Male,41857,47500,550,2,9,High School,No,60,0
APP00217,24,Female,79769,152500,610,0,6,PhD,No,36,1
APP00218,24,Female,59713,189200,558,2,6,Bachelor,No,48,0
APP00219,38,Female,32297,143700,681,2,5,Bachelor,Yes,60,0
APP00220,57,Male,52042,472900,671,0,11,Master,No,60,0
APP00221,26,Female,70722,95000,647,5,8,High School,Yes,48,0
APP00222,39,Female,79058,132000,821,0,6,Master,Yes,60,1
APP00223,49,Female,56312,109400,718,2,24,High School,No,36,1
APP00224,29,Female,119539,132000,731,1,3,Master,Yes,60,0
APP00225,49,Male,94417,317400,615,1,5,Bachelor,No,36,0
APP00226,33,Female,53456,405800,610,1,15,High School,No,72,0
APP00227,53,Male,84091,122400,683,0,18,Master,No,72,0
APP00228,44,Female,143244,120900,692,2,17,High School,No,48,1
APP00229,42,Male,144975,95300,550,0,24,High School,No,72,1
APP00230,28,Male,34527,369200,667,1,9,Master,No,12,0
APP00231,39,Female,39544,333500,681,2,15,Bachelor,No,48,0
APP00232,55,Female,117045,169800,665,1,18,Master,No,60,1
APP00233,21,Female,37267,83500,623,1,3,Bachelor,No,60,1
APP00234,51,Female,33089,87700,642,2,10,Bachelor,No,72,0
APP00235,40,Female,48210,197700,668,1,19,Bachelor,No,84,0
APP00236,49,Male,72490,243500,686,2,13,High School,No,48,0
APP00237,47,Male,57298,57800,722,3,16,PhD,No,48,0
APP00238,38,Male,44772,150800,756,1,20,High School,No,60,1
APP00239,33,Male,44298,438400,659,3,12,Bachelor,No,36,0
APP00240,46,Male,43545,159700,648,2,20,Bachelor,No,36,0
APP00241,26,Female,40389,408400,711,1,8,Bachelor,No,84,0
APP00242,44,Female,167516,257200,723,4,23,Bachelor,No,72,1
APP00243,24,Female,68595,99100,650,1,6,Master,No,84,0
APP00244,46,Male,89424,153200,735,0,18,Master,No,36,1
APP00245,46,Female,48147,167700,749,1,8,Master,No,12,0
APP00246,24,Female,55184,106600,770,1,6,Bachelor,No,60,0
APP00247,51,Female,43521,105600,804,1,19,Bachelor,No,84,1
APP00248,37,Male,18194,412300,619,1,7,High School,No,36,0
APP00249,52,Male,32273,105200,681,2,9,Master,No,24,0
APP00250,22,Female,26564,325700,681,3,4,Bachelor,No,24,0
APP00251,28,Male,21801,141600,673,2,10,Bachelor,No,72,0
APP00252,40,Male,35038,177500,635,1,2,High School,Yes,72,0
APP00253,28,Male,108916,245200,576,1,10,Master,No,60,0
APP00254,34,Female,58812,129500,686,0,16,Master,No,24,0
APP00255,47,Female,107243,246000,626,5,2,Master,No,60,0
APP00256,26,Male,72189,58400,686,0,8,High School,No,60,0
APP00257,48,Male,85327,229200,624,1,23,PhD,No,36,0
APP00258,25,Female,40002,46300,603,1,7,High School,No,36,0
APP00259,28,Female,75954,158900,696,0,10,Bachelor,No,60,1
APP00260,44,Female,83285,288000,691,0,10,High School,No,48,1
APP00261,52,Male,46287,253500,721,0,5,Bachelor,No,84,0
APP00262,27,Female,77180,88100,833,0,0,Bachelor,No,60,1
APP00263,32,Male,77411,94600,699,1,11,High School,No,48,0
APP00264,58,Female,46854,123200,714,3,19,Bachelor,No,60,1
APP00265,60,Male,36201,199400,605,1,1,Bachelor,Yes,60,0
APP00266,44,Male,35216,58900,590,2,26,Master,No,12,0
APP00267,38,Male,62382,178700,791,0,18,Bachelor,No,60,1
APP00268,34,Male,69512,213600,615,2,9,Bachelor,No,36,0
APP00269,45,Female,42002,154100,607,3,27,High School,No,48,0
APP00270,44,Male,60722,240300,677,0,5,Master,No,60,0
APP00271,32,Male,77563,203600,674,0,14,High School,No,60,1
APP00272,21,Male,79244,133600,617,2,3,Bachelor,No,48,0
APP00273,27,Female,120625,62100,659,1,9,High School,No,36,1
APP00274,59,Female,106590,193700,766,1,13,Bachelor,No,60,1
APP00275,37,Female,38235,106600,624,2,19,Bachelor,No,48,0
APP00276,40,Female,127991,131000,582,0,7,Bachelor,No,84,0
APP00277,39,Female,47248,234300,746,1,21,Bachelor,No,60,0
APP00278,52,Female,96018,392500,714,0,10,Bachelor,No,72,0
APP00279,23,Male,61864,176300,637,1,5,Bachelor,Yes,48,0
APP00280,24,Female,49843,244100,569,1,6,High School,No,72,0
APP00281,32,Female,26599,81300,628,1,14,Bachelor,No,24,0
APP00282,40,Female,55542,206000,676,0,10,Bachelor,No,36,0
APP00283,47,Male,29744,174200,762,1,4,Bachelor,No,24,0
APP00284,40,Female,92724,353900,607,1,12,High School,No,12,0
APP00285,38,Male,118736,133700,674,0,16,Bachelor,No,84,0
APP00286,58,Male,41919,157600,727,2,1,Bachelor,No,60,0
APP00287,27,Female,68733,322200,513,0,2,High School,No,60,0
APP00288,43,Male,43290,171100,752,3,25,High School,Yes,60,0
APP00289,42,Male,45219,97800,597,1,1,Bachelor,No,60,0
APP00290,39,Female,85018,732400,703,0,12,Bachelor,No,60,0
APP00291,53,Male,58968,99500,697,1,23,Bachelor,Yes,72,0
APP00292,31,Female,131261,173700,756,1,10,High School,No,60,1
APP00293,59,Male,48296,217800,719,0,15,Master,No,72,1
APP00294,34,Male,94071,208500,514,1,2,Bachelor,Yes,36,0
APP00295,42,Female,62689,162200,625,1,24,Bachelor,No,84,1
APP00296,41,Female,85837,162600,690,1,19,Master,No,12,1
APP00297,54,Male,49064,158200,666,0,26,Bachelor,No,48,1
APP00298,38,Female,58677,97400,713,1,20,High School,No,72,1
APP00299,32,Female,56961,587300,735,1,10,Bachelor,No,36,0
APP00300,21,Male,41187,159500,723,0,1,PhD,No,36,0
APP00301,35,Female,80825,250000,665,0,10,PhD,No,48,0
APP00302,54,Male,80395,149700,551,2,4,High School,Yes,48,0
APP00303,21,Female,78370,148100,648,1,3,Master,No,84,0
APP00304,56,Female,119819,140100,709,1,4,Bachelor,No,72,0
APP00305,42,Female,115186,76700,604,2,24,High School,No,60,0
APP00306,26,Female,50684,164800,724,0,8,Bachelor,No,84,0
APP00307,33,Male,70967,143900,744,0,7,Bachelor,No,60,1
APP00308,43,Male,45319,342900,689,0,25,Bachelor,No,72,0
APP00309,33,Male,60634,93200,466,2,15,Master,No,36,0
APP00310,25,Female,45808,131000,591,2,7,Bachelor,No,60,0
APP00311,47,Female,124384,109800,812,0,4,Bachelor,No,12,1
APP00312,47,Male,70669,398000,642,1,10,Bachelor,No,12,0
APP00313,25,Female,54393,111600,541,2,7,High School,No,60,0
APP00314,32,Female,102665,245200,766,5,14,Bachelor,Yes,24,0
APP00315,30,Female,22591,306900,681,3,8,PhD,Yes,60,0
APP00316,47,Male,24240,166100,757,2,23,Bachelor,Yes,60,0
APP00317,50,Female,85839,84400,699,3,8,High School,Yes,12,0
APP00318,50,Female,61655,85000,712,4,7,Bachelor,No,60,0
APP00319,58,Male,67158,288800,705,1,13,PhD,No,60,0
APP00320,51,Male,33032,90000,729,1,4,Master,No,72,0
APP00321,33,Male,59376,223300,839,2,12,Bachelor,No,36,0
APP00322,25,Male,147809,191700,748,0,7,Bachelor,No,84,0
APP00323,45,Female,86941,221500,569,0,8,Bachelor,No,72,0
APP00324,57,Female,64762,233300,711,2,24,Master,No,60,0
APP00325,60,Female,49243,107700,760,1,10,Master,No,48,0
APP00326,30,Male,50239,105300,764,1,12,Master,No,60,1
APP00327,30,Female,23016,266700,650,0,12,Bachelor,No,72,0
APP00328,22,Male,67376,127300,762,0,4,High School,No,36,1
APP00329,26,Female,87778,39700,745,1,8,Bachelor,No,84,1
APP00330,43,Male,29527,257200,850,2,25,High School,No,84,0
APP00331,42,Male,44554,101800,627,0,7,High School,No,60,1
APP00332,35,Female,35641,232700,644,0,8,Bachelor,No,60,0
APP00333,33,Male,38859,387200,659,1,15,Bachelor,No,60,0
APP00334,54,Female,61462,181700,646,2,10,Master,Yes,72,1
APP00335,39,Female,23485,311300,618,0,21,Master,Yes,72,0
APP00336,53,Female,79104,195900,487,0,1,Master,No,12,0
APP00337,59,Female,84232,431000,650,2,19,Master,Yes,24,0
APP00338,33,Male,53589,100400,706,4,15,Master,No,48,0
APP00339,29,Female,19649,179200,645,3,11,High School,Yes,84,0
APP00340,59,Male,38319,260700,815,0,18,Bachelor,No,48,0
APP00341,46,Female,104496,162100,681,2,26,High School,No,72,1
APP00342,32,Male,18000,339200,770,2,9,High School,No,60,0
APP00343,45,Male,51314,141900,698,3,11,High School,No,36,1
APP00344,41,Female,35281,561800,738,1,2,Master,Yes,84,0
APP00345,57,Male,86177,578300,700,0,21,Master,Yes,60,0
APP00346,31,Female,44280,210200,776,1,13,Master,No,48,0
APP00347,60,Female,71961,243900,684,0,23,PhD,No,12,0
APP00348,58,Female,77386,346700,715,2,23,Master,No,24,0
APP00349,28,Female,137091,93700,706,2,3,High School,No,36,0
APP00350,27,Female,54763,87500,660,0,9,Master,No,48,1
APP00351,42,Male,71063,359200,708,0,23,Master,Yes,60,0
APP00352,22,Male,30756,209300,836,1,4,Master,No,36,0
APP00353,32,Male,102517,158900,661,0,14,High School,No,24,1
APP00354,38,Female,42611,181100,709,0,20,High School,No,36,0
APP00355,59,Male,46619,48500,768,4,12,Master,No,48,0
APP00356,60,Male,59402,162100,760,0,23,High School,No,84,0
APP00357,27,Male,29697,119000,681,1,9,Bachelor,Yes,48,0
APP00358,56,Male,66506,298200,513,1,20,Bachelor,No,24,0
APP00359,24,Male,92731,311100,716,1,6,High School,No,60,0
APP00360,50,Male,68454,247200,525,3,20,High School,Yes,84,0
APP00361,54,Male,29351,223700,783,1,24,PhD,Yes,72,0
APP00362,56,Male,56749,79000,692,2,28,Master,No,72,0
APP00363,29,Male,83785,249100,750,2,9,Master,Yes,84,0
APP00364,56,Male,25771,254500,617,1,28,Bachelor,No,60,0
APP00365,25,Female,36992,357000,571,1,7,High School,No,84,0
APP00366,41,Male,89014,577100,698,0,18,Bachelor,No,12,0
APP00367,39,Male,67754,71000,678,2,10,Bachelor,No,72,1
APP00368,33,Male,72221,145400,646,1,12,High School,No,72,1
APP00369,21,Female,138534,119700,686,2,3,Master,Yes,84,0
APP00370,51,Female,74084,197900,850,2,11,PhD,No,60,0
APP00371,34,Female,80672,181300,738,2,8,Bachelor,No,72,0
APP00372,47,Male,180000,158300,753,0,25,Bachelor,No,36,1
APP00373,37,Male,54496,316800,739,1,12,Bachelor,No,60,0
APP00374,35,Male,41900,98200,784,1,17,High School,No,48,1
APP00375,56,Female,72737,101500,667,1,0,Bachelor,No,60,1
APP00376,24,Female,73105,102500,536,2,2,Bachelor,No,60,0
APP00377,50,Female,47338,147600,667,0,26,Bachelor,No,48,1
APP00378,50,Female,37704,91600,737,1,4,Bachelor,No,36,0
APP00379,36,Female,169656,175300,612,1,18,Master,No,48,0
APP00380,31,Female,69507,164300,668,2,13,High School,No,60,0
APP00381,21,Female,43156,116800,632,0,3,High School,Yes,60,0
APP00382,58,Male,90605,291100,785,1,27,High School,No,72,1
APP00383,58,Male,57124,174200,732,1,13,High School,No,24,1
APP00384,30,Female,53546,322900,726,0,12,Bachelor,Yes,72,0
APP00385,22,Male,77275,161700,724,0,4,Master,No,60,1
APP00386,25,Male,33549,177600,677,2,7,Master,No,12,0
APP00387,23,Female,70318,132100,694,1,5,Bachelor,Yes,48,1
APP00388,54,Male,141907,179300,597,1,24,Bachelor,Yes,60,0
APP00389,56,Female,74004,266300,527,3,1,High School,No,48,0
APP00390,27,Female,50656,143600,691,0,9,Bachelor,Yes,24,0
APP00391,50,Male,47758,239400,703,3,0,Bachelor,No,36,0
APP00392,28,Female,49884,115100,765,0,9,Master,No,12,0
APP00393,35,Female,53520,273300,790,2,17,Bachelor,No,24,0
APP00394,44,Female,50619,130800,790,2,4,High School,No,36,1
APP00395,49,Male,90621,287500,610,1,15,Bachelor,No,72,1
APP00396,55,Female,27506,186100,655,0,30,High School,No,60,0
APP00397,22,Female,88433,415500,714,0,4,Master,No,48,0
APP00398,28,Female,50576,95400,850,3,0,High School,No,60,1
APP00399,32,Male,71092,79900,784,3,14,High School,No,60,0
APP00400,33,Male,36133,128300,758,2,15,High School,No,36,0
APP00401,60,Female,109096,84100,653,2,2,Master,No,36,0
APP00402,52,Male,105097,84100,618,1,20,Bachelor,No,36,1
APP00403,33,Male,92403,253400,735,2,15,Bachelor,No,60,1
APP00404,59,Male,30347,179600,603,0,21,Bachelor,No,60,0
APP00405,40,Male,87134,138300,663,1,9,High School,Yes,48,1
APP00406,41,Male,71990,145500,672,1,7,Master,No,60,0
APP00407,38,Male,29136,129600,792,1,20,High School,No,84,0
APP00408,26,Female,59348,446200,655,1,8,High School,No,48,0
APP00409,58,Male,70696,120100,509,2,5,Bachelor,No,60,0
APP00410,21,Male,77060,87000,715,1,3,High School,No,60,1
APP00411,27,Male,64982,278900,631,1,9,High School,No,60,0
APP00412,30,Female,68402,159900,683,1,12,Master,No,72,1
APP00413,32,Male,116451,552400,674,1,6,Bachelor,No,60,0
APP00414,26,Female,104174,134800,661,0,6,High School,No,36,0
APP00415,21,Female,18000,286600,735,0,3,Bachelor,No,60,0
APP00416,48,Female,52013,326400,573,0,21,Master,No,72,0
APP00417,59,Female,55715,135100,644,1,27,High School,No,48,0
APP00418,25,Male,27273,119600,728,1,7,High School,No,84,0
APP00419,32,Female,62598,270600,637,0,14,Bachelor,No,48,0
APP00420,41,Male,105244,246900,567,1,5,Bachelor,No,60,0
APP00421,58,Female,36796,82900,727,3,8,PhD,No,60,1
APP00422,48,Female,69806,96800,759,0,7,Bachelor,No,60,1
APP00423,51,Female,39735,44600,677,3,1,High School,No,72,0
APP00424,44,Female,44344,249700,543,1,24,Bachelor,No,36,0
APP00425,37,Male,116649,155900,729,0,19,Bachelor,No,60,1
APP00426,28,Female,47002,164600,564,1,2,High School,Yes,60,0
