Employee_ID,Age,Gender,Education Level,Job Title,Years of Experience,Salary
1370,33.0,Male,Bachelor's,Junior Business Analyst,4.0,60000.0
1263,46.0,Male,PhD,Senior Data Scientist,18.0,160000.0
1130,34.0,Male,Master's,Senior Software Developer,8.0,105000.0
1039,26.0,Female,Bachelor's,Customer Success Rep,1.0,40000.0
1012,48.0,Female,Bachelor's,HR Manager,18.0,140000.0
1247,49.0,Female,Master's,Director of Marketing,21.0,180000.0
1186,43.0,Male,Bachelor's,Senior IT Project Manager,14.0,130000.0
1199,32.0,Female,Bachelor's,Junior Account Manager,5.0,55000.0
1113,50.0,Female,Bachelor's,Supply Chain Analyst,22.0,130000.0
1180,46.0,Male,Master's,Director of Operations,20.0,170000.0
1246,36.0,Male,Bachelor's,Senior Operations Manager,8.0,95000.0
1234,35.0,Male,Bachelor's,Senior Operations Analyst,8.0,85000.0
1118,48.0,Male,PhD,Principal Engineer,20.0,170000.0
1347,35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0
1361,29.0,Female,Bachelor's,Junior Project Manager,2.0,40000.0
1365,35.0,Female,Bachelor's,Senior Financial Manager,8.0,90000.0
1339,44.0,Female,PhD,Senior Business Analyst,15.0,150000.0
1165,41.0,Female,Master's,Senior Human Resources Manager,13.0,120000.0
1226,40.0,Female,Bachelor's,Senior Marketing Manager,11.0,105000.0
1137,46.0,Male,Master's,Senior Project Manager,19.0,140000.0
1155,37.0,Female,Master's,Senior Marketing Analyst,9.0,95000.0
1200,35.0,Male,Master's,Senior Software Developer,9.0,110000.0
1198,45.0,Male,PhD,Senior Data Analyst,17.0,155000.0
1368,41.0,Male,Bachelor's,Senior Product Manager,14.0,150000.0
1003,45.0,Male,PhD,Senior Manager,15.0,150000.0
1374,34.0,Male,Bachelor's,Senior Operations Coordinator,7.0,90000.0
1116,31.0,Male,Master's,Senior Financial Analyst,6.0,95000.0
1211,38.0,Male,Master's,Senior IT Consultant,9.0,110000.0
1299,30.0,Female,Bachelor's,Junior Operations Coordinator,2.0,40000.0
1027,37.0,Female,Master's,Software Manager,11.0,110000.0
1121,42.0,Female,Bachelor's,Sales Manager,17.0,100000.0
1286,44.0,Female,PhD,Senior Product Designer,15.0,150000.0
1355,31.0,Female,Bachelor's,Junior Business Development Associate,3.0,50000.0
1322,32.0,Male,Bachelor's,Junior Financial Advisor,4.0,65000.0
1128,45.0,Male,Bachelor's,Sales Operations Manager,18.0,110000.0
1075,42.0,Female,Master's,Creative Director,14.0,120000.0
1301,48.0,Female,Master's,Director of HR,20.0,180000.0
1030,33.0,Male,Master's,Product Designer,6.0,90000.0
1084,52.0,Male,PhD,Chief Technology Officer,24.0,250000.0
1358,33.0,Male,Bachelor's,Junior Product Manager,4.0,60000.0
1108,36.0,Male,Bachelor's,IT Support Specialist,7.0,60000.0
1223,33.0,Male,Bachelor's,Senior Product Development Manager,7.0,100000.0
1230,51.0,Female,Master's,Director of Human Resources,21.0,190000.0
1134,47.0,Male,PhD,Senior Research Scientist,22.0,160000.0
1185,36.0,Female,Bachelor's,Senior Marketing Specialist,8.0,85000.0
1305,33.0,Female,Bachelor's,Junior Marketing Manager,5.0,70000.0
1045,41.0,Male,Master's,Strategy Consultant,13.0,130000.0
1356,40.0,Male,Bachelor's,Senior Financial Analyst,12.0,130000.0
1066,38.0,Female,Master's,Digital Marketing Manager,10.0,90000.0
1353,38.0,Female,Bachelor's,Senior Business Analyst,10.0,110000.0
1086,34.0,Female,Master's,Financial Advisor,10.0,95000.0
1187,33.0,Female,Master's,Senior Financial Analyst,6.0,95000.0
1071,33.0,Male,Bachelor's,Web Developer,6.0,65000.0
1160,28.0,Male,Bachelor's,Junior Software Engineer,2.0,40000.0
1013,35.0,Male,Bachelor's,Financial Analyst,6.0,65000.0
1036,27.0,Male,Bachelor's,Technical Writer,2.0,45000.0
1029,43.0,Female,PhD,Senior Consultant,15.0,140000.0
1171,50.0,Female,Master's,Director of Finance,20.0,180000.0
1143,33.0,Male,Bachelor's,Junior Software Developer,5.0,50000.0
1297,40.0,Female,Bachelor's,Senior Marketing Manager,12.0,130000.0
1249,41.0,Female,Bachelor's,Senior Project Coordinator,11.0,95000.0
1151,29.0,Female,Bachelor's,Junior Recruiter,3.0,45000.0
1229,37.0,Male,Master's,Senior Software Architect,9.0,120000.0
1222,31.0,Female,Bachelor's,Junior Social Media Specialist,3.0,45000.0
1132,29.0,Male,Bachelor's,Junior Web Designer,3.0,45000.0
1250,47.0,Male,Master's,Director of Operations,20.0,170000.0
1052,33.0,Male,Master's,Business Intelligence Analyst,7.0,85000.0
1241,44.0,Female,PhD,Senior HR Manager,18.0,160000.0
1279,36.0,Male,Bachelor's,Senior Product Manager,8.0,95000.0
1096,39.0,Female,Bachelor's,Training Specialist,12.0,65000.0
1284,29.0,Female,Bachelor's,Junior Business Development Associate,1.5,35000.0
1179,38.0,Female,Bachelor's,Senior Human Resources Coordinator,10.0,80000.0
1205,36.0,Male,Bachelor's,Senior Accountant,7.0,90000.0
1124,38.0,Male,Bachelor's,Customer Service Manager,11.0,80000.0
1042,48.0,Male,Master's,Operations Director,18.0,190000.0
1090,31.0,Female,Bachelor's,Marketing Coordinator,6.0,55000.0
1289,44.0,Male,Bachelor's,Senior Software Engineer,13.0,130000.0
1207,31.0,Male,Bachelor's,Junior HR Generalist,4.0,50000.0
1255,35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0
1312,35.0,Male,Bachelor's,Senior Financial Manager,9.0,100000.0
1005,52.0,Male,Master's,Director,20.0,200000.0
1257,34.0,Female,Master's,Senior Financial Advisor,6.0,100000.0
1335,36.0,Female,Bachelor's,Senior Marketing Manager,8.0,95000.0
1101,31.0,Female,Bachelor's,Event Coordinator,5.0,45000.0
1227,46.0,Male,PhD,Senior Data Scientist,18.0,160000.0
1336,47.0,Male,Master's,Director of Operations,19.0,170000.0
1214,35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0
1172,29.0,Male,Bachelor's,Junior Marketing Coordinator,2.0,40000.0
1099,38.0,Female,Master's,Public Relations Manager,10.0,90000.0
1216,34.0,Female,Master's,Senior Financial Advisor,6.0,100000.0
1062,29.0,Male,Bachelor's,Marketing Analyst,3.0,50000.0
1048,45.0,Female,Master's,Director of Marketing,16.0,180000.0
1033,29.0,Male,Master's,Data Scientist,3.0,75000.0
1268,44.0,Female,Master's,Senior HR Specialist,15.0,140000.0
1201,49.0,Female,Master's,Director of Human Capital,21.0,180000.0
1333,45.0,Female,PhD,Senior UX Designer,16.0,160000.0
1028,24.0,Male,Bachelor's,Junior Developer,1.0,40000.0
1291,38.0,Female,Bachelor's,Senior Business Analyst,10.0,110000.0
1231,30.0,Male,Bachelor's,Junior Marketing Specialist,3.0,45000.0
1261,,,,,,
1163,30.0,Female,Bachelor's,Junior Copywriter,3.0,45000.0
1318,36.0,Male,Bachelor's,Senior Marketing Specialist,8.0,95000.0
1139,36.0,Male,Bachelor's,Junior Data Analyst,7.0,60000.0
1063,40.0,Female,Bachelor's,HR Manager,12.0,80000.0
1136,39.0,Female,Bachelor's,Administrative Assistant,10.0,55000.0
1129,32.0,Female,Bachelor's,Marketing Coordinator,4.0,50000.0
1009,26.0,Female,Bachelor's,Marketing Coordinator,1.0,45000.0
1065,26.0,Male,Bachelor's,Junior Accountant,1.0,35000.0
1015,27.0,Male,Bachelor's,Customer Service Rep,2.0,40000.0
1157,32.0,Female,Bachelor's,Junior Financial Analyst,5.0,50000.0
1041,34.0,Female,Master's,UX Designer,5.0,80000.0
1343,31.0,Female,Bachelor's,Junior Financial Analyst,3.0,50000.0
1302,31.0,Male,Bachelor's,Junior Project Manager,3.0,55000.0
1217,35.0,Male,Bachelor's,Senior Project Coordinator,9.0,95000.0
1280,49.0,Female,Master's,Director of Operations,21.0,180000.0
1323,39.0,Female,Bachelor's,Senior Project Manager,12.0,130000.0
1237,37.0,Female,Bachelor's,Senior Financial Analyst,9.0,100000.0
1208,39.0,Female,Bachelor's,Senior Operations Manager,10.0,120000.0
1213,28.0,Male,Bachelor's,Junior Business Development Associate,2.0,40000.0
1296,33.0,Male,Bachelor's,Junior Financial Analyst,4.0,60000.0
1341,35.0,Female,Bachelor's,Senior Financial Manager,8.0,90000.0
1252,38.0,Male,Master's,Senior IT Consultant,9.0,110000.0
1366,43.0,Male,Master's,Director of Marketing,18.0,170000.0
1342,43.0,Male,Master's,Director of Marketing,18.0,170000.0
1304,45.0,Male,PhD,Senior Data Engineer,16.0,150000.0
1270,39.0,Female,Bachelor's,Senior Marketing Coordinator,9.0,110000.0
1202,30.0,Male,Bachelor's,Junior Advertising Coordinator,3.0,45000.0
1162,48.0,Male,Master's,Director of Product Management,21.0,175000.0
1044,36.0,Female,Bachelor's,Administrative Assistant,8.0,45000.0
1218,50.0,Female,PhD,Director of Operations,22.0,180000.0
1191,39.0,Female,Bachelor's,Senior Account Executive,12.0,95000.0
1310,47.0,Male,Master's,Director of Marketing,19.0,170000.0
1260,29.0,Male,Bachelor's,Junior Business Operations Analyst,1.5,350.0
1106,44.0,Male,PhD,Chief Data Officer,16.0,220000.0
1054,47.0,Male,Master's,VP of Finance,19.0,200000.0
1002,28.0,Female,Master's,Data Analyst,3.0,65000.0
1050,25.0,Male,Bachelor's,Help Desk Analyst,0.0,35000.0
1081,36.0,Male,Bachelor's,Technical Recruiter,8.0,70000.0
1206,41.0,Female,PhD,Senior Marketing Director,17.0,160000.0
1035,46.0,Male,PhD,Senior Manager,20.0,170000.0
1264,31.0,Female,Bachelor's,Junior Marketing Coordinator,3.0,50000.0
1092,29.0,Female,Bachelor's,Sales Associate,3.0,40000.0
1053,40.0,Female,Bachelor's,Event Coordinator,12.0,60000.0
1265,42.0,Male,Bachelor's,Senior Operations Manager,12.0,110000.0
1242,29.0,Male,Bachelor's,Junior Business Analyst,1.5,40000.0
1014,40.0,Female,Master's,Project Manager,14.0,130000.0
1316,44.0,Male,Bachelor's,Senior Software Engineer,13.0,130000.0
1089,46.0,Male,Master's,Senior Project Manager,21.0,135000.0
1274,47.0,Female,Master's,Director of Marketing,20.0,180000.0
1167,40.0,Female,Bachelor's,Senior Account Manager,14.0,110000.0
1329,38.0,Female,Bachelor's,Senior Business Analyst,10.0,110000.0
1369,44.0,Female,PhD,Senior Data Engineer,16.0,160000.0
1135,27.0,Male,Bachelor's,Junior Sales Representative,1.0,35000.0
1307,49.0,Female,Master's,Director of Marketing,21.0,180000.0
1362,34.0,Male,Bachelor's,Senior Operations Coordinator,7.0,90000.0
1320,37.0,Male,Bachelor's,Senior Business Development Manager,10.0,120000.0
1244,46.0,Male,PhD,Senior Data Analyst,19.0,150000.0
1055,29.0,Female,Bachelor's,Graphic Designer,3.0,50000.0
1051,51.0,Female,Bachelor's,Customer Service Manager,22.0,130000.0
1175,26.0,Female,Master's,Junior Data Scientist,1.5,45000.0
1190,28.0,Male,Bachelor's,Junior Operations Analyst,1.5,35000.0
1373,29.0,Female,Bachelor's,Junior Project Manager,2.0,40000.0
1188,34.0,Male,Bachelor's,Senior Quality Assurance Analyst,9.0,100000.0
1170,34.0,Male,Master's,Senior Software Engineer,9.0,105000.0
1059,30.0,Female,Bachelor's,Social Media Manager,4.0,55000.0
1049,38.0,Male,PhD,Senior Scientist,11.0,120000.0
1345,44.0,Female,PhD,Senior Data Engineer,16.0,160000.0
1236,32.0,Male,Bachelor's,Junior Sales Representative,3.0,45000.0
1253,45.0,Female,PhD,Senior Product Designer,15.0,150000.0
1022,47.0,Male,Master's,VP of Operations,19.0,190000.0
1314,33.0,Male,Bachelor's,Junior Business Analyst,4.0,60000.0
1161,39.0,Female,Bachelor's,Senior Sales Representative,12.0,90000.0
1277,46.0,Male,PhD,Senior Data Analyst,17.0,160000.0
1192,47.0,Male,Master's,Director of Business Development,19.0,170000.0
1294,35.0,Male,Bachelor's,Senior Business Development Manager,7.0,90000.0
1344,41.0,Male,Bachelor's,Senior Product Manager,14.0,150000.0
1258,35.0,Male,Bachelor's,Senior Project Coordinator,9.0,95000.0
1309,42.0,Female,Bachelor's,Senior Project Manager,12.0,120000.0
1150,45.0,Male,Master's,Director of Sales,19.0,175000.0
1131,50.0,Female,Master's,Director of Operations,21.0,160000.0
1152,36.0,Male,Master's,Senior Business Development Manager,11.0,120000.0
1360,47.0,Male,Master's,Director of Operations,19.0,170000.0
1100,45.0,Male,Bachelor's,Operations Analyst,20.0,110000.0
1088,40.0,Female,Bachelor's,HR Generalist,15.0,80000.0
1331,31.0,Female,Bachelor's,Junior Business Development Associate,3.0,50000.0
1215,44.0,Male,Bachelor's,Senior Software Engineer,14.0,130000.0
1122,53.0,Male,Master's,Director of Marketing,25.0,180000.0
1375,44.0,Female,PhD,Senior Business Analyst,15.0,150000.0
1021,34.0,Female,Master's,Business Analyst,5.0,80000.0
1189,50.0,Female,PhD,Director of Sales and Marketing,22.0,180000.0
1072,39.0,Female,Bachelor's,Recruiter,11.0,70000.0
1107,30.0,Female,Bachelor's,Digital Content Producer,3.0,50000.0
1271,45.0,Male,PhD,Senior Data Engineer,16.0,150000.0
1349,28.0,Female,Bachelor's,Junior Operations Manager,1.0,35000.0
1103,49.0,Female,Master's,Senior HR Manager,19.0,150000.0
